code,Ingredients,protein,carbohydrates,fats,minerals,fibre,calories
E063,Strawberry (Fragaria ananassa),0.97,3.4,0.56,0.54,2.5,24.617618
E064,"Tamarind, pulp (Tamarindus indicus)",2.92,67.35,0.15,3.44,5.31,288.480242
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",0.6,3.86,0.16,0.13,0.7,20.31551
E066,"Water melon, pale green (Citrullus vulgaris)",0.59,3.02,0.16,0.12,0.78,16.73042
E067,Wood Apple (Limonia acidissima),3.14,7.52,3.62,1.15,5.21,78.154962
E068,Zizyphus (Zizyphus jujube),1.34,9.4,0.35,0.8,3.73,48.757224
F001,Beet root (Beta vulgaris),1.95,6.18,0.14,1.46,3.31,35.611894
F002,"Carrot, orange (Dacus carota)",0.95,5.55,0.47,1.16,4.18,33.221834
F003,"Carrot, red (Dacus carota)",1.04,6.71,0.47,1.22,4.49,38.24096
F004,Colocasia (Colocasia antiquorum),3.31,17.85,0.17,1.95,3.22,88.910232
F005,Lotus root (Nelumbium nelumbo),1.94,14.67,0.93,1.5,4.7,79.349992
F006,"Potato, brown skin, big (Solanum tuberosum)",1.54,14.89,0.23,0.92,1.71,69.789752
F007,"Potato, brown skin, small (Solanum tuberosum)",1.35,12.9,0.22,0.87,1.69,60.94653
F008,"Potato, red skin (Solanum tuberosum)",1.83,15.43,0.22,1.13,1.68,73.135836
F009,"Radish, elongate, red skin (Raphanus sativus)",0.67,6.71,0.13,0.73,2.46,32.026804
F010,"Radish, elongate, white skin (Raphanus sativus)",0.77,6.56,0.15,0.82,2.65,32.26581
F011,"Radish, round, red skin (Raphanus sativus)",0.89,6.07,0.16,0.91,2.29,31.07078
F012,"Radish, round, white skin (Raphanus sativus)",0.8,6.13,0.14,0.8,2.37,30.831774
F013,"Sweet potato, brown skin (Ipomoes batatas)",1.33,24.25,0.26,0.96,3.99,108.986736
F014,"Sweet potato, pink skin (Ipomoes batatas)",1.27,23.93,0.33,0.95,3.94,108.030712
F015,Tapioca (Manihot esculenta),1.03,17.81,0.2,1.12,4.61,79.828004
F016,Water Chestnut (Eleocharis dulcis),0.86,21.46,0.37,0.95,3.02,95.6024
F017,"Yam, elephant (Amorphophallus campanulatus)",2.56,17.46,0.14,1.29,4.17,84.369118
F018,"Yam, ordinary (Amorphophallus campanulatus)",2.18,17.65,0.17,1.64,4.08,83.413094
F019,"Yam, wild (Dioscorea versicolor)",3.07,20.95,0.3,1.76,4.57,102.77258
G001,"Chillies, green-1 (Capsicum annum)",2.62,6.32,0.73,1.01,4.86,45.650146
G002,"Chillies, green-2 (Capsicum annum)",2.28,5.27,0.75,0.85,5.13,39.914002
G003,"Chillies, green-3 (Capsicum annum)",2.38,5.23,0.75,0.95,5.1,40.392014
